# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_001181725.1	Primary Assembly	unplaced scaffold		NZ_CVVM01000001.1	39	569	-							AFI95_RS00005	531		old_locus_tag=PAERUG_E11_London_26_VIM_2_06_13_00001
CDS	with_protein	GCF_001181725.1	Primary Assembly	unplaced scaffold		NZ_CVVM01000001.1	39	569	-	WP_050480556.1	WP_050480556.1		GNAT family N-acetyltransferase			AFI95_RS00005	531	176	
gene	protein_coding	GCF_001181725.1	Primary Assembly	unplaced scaffold		NZ_CVVM01000001.1	705	2438	+					aceK		AFI95_RS00010	1734		old_locus_tag=PAERUG_E11_London_26_VIM_2_06_13_00002
CDS	with_protein	GCF_001181725.1	Primary Assembly	unplaced scaffold		NZ_CVVM01000001.1	705	2438	+	WP_003082886.1	WP_003082886.1		bifunctional isocitrate dehydrogenase kinase/phosphatase	aceK		AFI95_RS00010	1734	577	
gene	protein_coding	GCF_001181725.1	Primary Assembly	unplaced scaffold		NZ_CVVM01000001.1	2473	3615	-					pdxB		AFI95_RS00015	1143		old_locus_tag=PAERUG_E11_London_26_VIM_2_06_13_00003
CDS	with_protein	GCF_001181725.1	Primary Assembly	unplaced scaffold		NZ_CVVM01000001.1	2473	3615	-	WP_003086963.1	WP_003086963.1		4-phosphoerythronate dehydrogenase PdxB	pdxB		AFI95_RS00015	1143	380	
gene	protein_coding	GCF_001181725.1	Primary Assembly	unplaced scaffold		NZ_CVVM01000001.1	3830	4336	-							AFI95_RS00020	507		old_locus_tag=PAERUG_E11_London_26_VIM_2_06_13_00004
CDS	with_protein	GCF_001181725.1	Primary Assembly	unplaced scaffold		NZ_CVVM01000001.1	3830	4336	-	WP_003086962.1	WP_003086962.1		helix-turn-helix transcriptional regulator			AFI95_RS00020	507	168	
gene	protein_coding	GCF_001181725.1	Primary Assembly	unplaced scaffold		NZ_CVVM01000001.1	4445	5713	+					fabF		AFI95_RS00025	1269		old_locus_tag=PAERUG_E11_London_26_VIM_2_06_13_00005
CDS	with_protein	GCF_001181725.1	Primary Assembly	unplaced scaffold		NZ_CVVM01000001.1	4445	5713	+	WP_023116299.1	WP_023116299.1		beta-ketoacyl-ACP synthase II	fabF		AFI95_RS00025	1269	422	
gene	protein_coding	GCF_001181725.1	Primary Assembly	unplaced scaffold		NZ_CVVM01000001.1	5958	6431	-							AFI95_RS00030	474		old_locus_tag=PAERUG_E11_London_26_VIM_2_06_13_00006
CDS	with_protein	GCF_001181725.1	Primary Assembly	unplaced scaffold		NZ_CVVM01000001.1	5958	6431	-	WP_015648461.1	WP_015648461.1		hypothetical protein			AFI95_RS00030	474	157	
gene	protein_coding	GCF_001181725.1	Primary Assembly	unplaced scaffold		NZ_CVVM01000001.1	6800	7279	-							AFI95_RS00035	480		
