# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_947241705.1	Primary Assembly	chromosome	1	NC_079256.1	3103	4191	-					SMKI01G0010	80916260	SMKI_01G0010	1089		partial
mRNA		GCF_947241705.1	Primary Assembly	chromosome	1	NC_079256.1	3103	4191	-	XM_056221363.1		XP_056080164.1	uncharacterized protein	SMKI01G0010	80916260	SMKI_01G0010	1089	1089	partial
CDS	with_protein	GCF_947241705.1	Primary Assembly	chromosome	1	NC_079256.1	3103	4191	-	XP_056080164.1		XM_056221363.1	uncharacterized protein	SMKI01G0010	80916260	SMKI_01G0010	1089	362	
gene	protein_coding	GCF_947241705.1	Primary Assembly	chromosome	1	NC_079256.1	4600	7098	-					SMKI01G0020	80916261	SMKI_01G0020	2499		partial
mRNA		GCF_947241705.1	Primary Assembly	chromosome	1	NC_079256.1	4600	7098	-	XM_056222474.1		XP_056080165.1	uncharacterized protein	SMKI01G0020	80916261	SMKI_01G0020	2499	2499	partial
CDS	with_protein	GCF_947241705.1	Primary Assembly	chromosome	1	NC_079256.1	4600	7098	-	XP_056080165.1		XM_056222474.1	uncharacterized protein	SMKI01G0020	80916261	SMKI_01G0020	2499	832	
gene	protein_coding	GCF_947241705.1	Primary Assembly	chromosome	1	NC_079256.1	7420	8454	-					SMKI01G0030	80916262	SMKI_01G0030	1035		partial
mRNA		GCF_947241705.1	Primary Assembly	chromosome	1	NC_079256.1	7420	8454	-	XM_056223585.1		XP_056080166.1	uncharacterized protein	SMKI01G0030	80916262	SMKI_01G0030	1035	1035	partial
CDS	with_protein	GCF_947241705.1	Primary Assembly	chromosome	1	NC_079256.1	7420	8454	-	XP_056080166.1		XM_056223585.1	uncharacterized protein	SMKI01G0030	80916262	SMKI_01G0030	1035	344	
gene	protein_coding	GCF_947241705.1	Primary Assembly	chromosome	1	NC_079256.1	11406	12128	-					SMKI01G0040	80916263	SMKI_01G0040	723		partial
mRNA		GCF_947241705.1	Primary Assembly	chromosome	1	NC_079256.1	11406	12128	-	XM_056224696.1		XP_056080167.1	uncharacterized protein	SMKI01G0040	80916263	SMKI_01G0040	723	723	partial
CDS	with_protein	GCF_947241705.1	Primary Assembly	chromosome	1	NC_079256.1	11406	12128	-	XP_056080167.1		XM_056224696.1	uncharacterized protein	SMKI01G0040	80916263	SMKI_01G0040	723	240	
gene	protein_coding	GCF_947241705.1	Primary Assembly	chromosome	1	NC_079256.1	13441	13803	-					SMKI01G0050	80916264	SMKI_01G0050	363		partial
mRNA		GCF_947241705.1	Primary Assembly	chromosome	1	NC_079256.1	13441	13803	-	XM_056225807.1		XP_056080168.1	uncharacterized protein	SMKI01G0050	80916264	SMKI_01G0050	363	363	partial
CDS	with_protein	GCF_947241705.1	Primary Assembly	chromosome	1	NC_079256.1	13441	13803	-	XP_056080168.1		XM_056225807.1	uncharacterized protein	SMKI01G0050	80916264	SMKI_01G0050	363	120	
gene	protein_coding	GCF_947241705.1	Primary Assembly	chromosome	1	NC_079256.1	21441	23225	-					SMKI01G0060	80916265	SMKI_01G0060	1785		partial
mRNA		GCF_947241705.1	Primary Assembly	chromosome	1	NC_079256.1	21441	23225	-	XM_056226492.1		XP_056080169.1	uncharacterized protein	SMKI01G0060	80916265	SMKI_01G0060	1785	1785	partial
CDS	with_protein	GCF_947241705.1	Primary Assembly	chromosome	1	NC_079256.1	21441	23225	-	XP_056080169.1		XM_056226492.1	uncharacterized protein	SMKI01G0060	80916265	SMKI_01G0060	1785	594	
gene	protein_coding	GCF_947241705.1	Primary Assembly	chromosome	1	NC_079256.1	26054	32428	-					SMKI01G0070	80916266	SMKI_01G0070	6375		partial
