# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	1807	2169	-					PAU8	851229	YAL068C	363		partial
mRNA		GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	1807	2169	-	NM_001180043.1		NP_009332.1	seripauperin PAU8	PAU8	851229	YAL068C	363	363	partial
CDS	with_protein	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	1807	2169	-	NP_009332.1		NM_001180043.1	seripauperin PAU8	PAU8	851229	YAL068C	363	120	
gene	protein_coding	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	2480	2707	+						1466426	YAL067W-A	228		partial
mRNA		GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	2480	2707	+	NM_001184582.1		NP_878038.1	uncharacterized protein		1466426	YAL067W-A	228	228	partial
CDS	with_protein	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	2480	2707	+	NP_878038.1		NM_001184582.1	uncharacterized protein		1466426	YAL067W-A	228	75	
gene	protein_coding	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	7235	9016	-					SEO1	851230	YAL067C	1782		partial
mRNA		GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	7235	9016	-	NM_001178208.1		NP_009333.1	putative permease SEO1	SEO1	851230	YAL067C	1782	1782	partial
CDS	with_protein	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	7235	9016	-	NP_009333.1		NM_001178208.1	putative permease SEO1	SEO1	851230	YAL067C	1782	593	
gene	protein_coding	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	11565	11951	-						851232	YAL065C	387		partial
mRNA		GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	11565	11951	-	NM_001179897.1		NP_009335.1	uncharacterized protein		851232	YAL065C	387	387	partial
CDS	with_protein	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	11565	11951	-	NP_009335.1		NM_001179897.1	uncharacterized protein		851232	YAL065C	387	128	
gene	protein_coding	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	12046	12426	+						851233	YAL064W-B	381		partial
mRNA		GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	12046	12426	+	NM_001180042.1		NP_009336.1	uncharacterized protein		851233	YAL064W-B	381	381	partial
CDS	with_protein	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	12046	12426	+	NP_009336.1		NM_001180042.1	uncharacterized protein		851233	YAL064W-B	381	126	
gene	protein_coding	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	13363	13743	-					TDA8	851234	YAL064C-A	381		partial
mRNA		GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	13363	13743	-	NM_001180041.1		NP_058136.1	Tda8p	TDA8	851234	YAL064C-A	381	381	partial
CDS	with_protein	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	13363	13743	-	NP_058136.1		NM_001180041.1	Tda8p	TDA8	851234	YAL064C-A	381	126	
gene	protein_coding	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	21566	21850	+						851235	YAL064W	285		partial
mRNA		GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	21566	21850	+	NM_001178206.2		NP_009337.2	uncharacterized protein		851235	YAL064W	285	285	partial
CDS	with_protein	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	21566	21850	+	NP_009337.2		NM_001178206.2	uncharacterized protein		851235	YAL064W	285	94	
gene	protein_coding	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	22395	22685	-						1466427	YAL063C-A	291		partial
mRNA		GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	22395	22685	-	NM_001184642.1		NP_878039.1	uncharacterized protein		1466427	YAL063C-A	291	291	partial
CDS	with_protein	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	22395	22685	-	NP_878039.1		NM_001184642.1	uncharacterized protein		1466427	YAL063C-A	291	96	
gene	protein_coding	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	24000	27968	-					FLO9	851236	YAL063C	3969		partial
mRNA		GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	24000	27968	-	NM_001178205.1		NP_009338.1	flocculin FLO9	FLO9	851236	YAL063C	3969	3969	partial
CDS	with_protein	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	24000	27968	-	NP_009338.1		NM_001178205.1	flocculin FLO9	FLO9	851236	YAL063C	3969	1322	
gene	protein_coding	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	31567	32940	+					GDH3	851237	YAL062W	1374		partial
mRNA		GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	31567	32940	+	NM_001178204.1		NP_009339.1	glutamate dehydrogenase (NADP(+)) GDH3	GDH3	851237	YAL062W	1374	1374	partial
CDS	with_protein	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	31567	32940	+	NP_009339.1		NM_001178204.1	glutamate dehydrogenase (NADP(+)) GDH3	GDH3	851237	YAL062W	1374	457	
gene	protein_coding	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	33448	34701	+					BDH2	851238	YAL061W	1254		partial
mRNA		GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	33448	34701	+	NM_001178203.1		NP_009340.1	putative dehydrogenase BDH2	BDH2	851238	YAL061W	1254	1254	partial
CDS	with_protein	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	33448	34701	+	NP_009340.1		NM_001178203.1	putative dehydrogenase BDH2	BDH2	851238	YAL061W	1254	417	
gene	protein_coding	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	35155	36303	+					BDH1	851239	YAL060W	1149		partial
mRNA		GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	35155	36303	+	NM_001178202.2		NP_009341.2	(R,R)-butanediol dehydrogenase	BDH1	851239	YAL060W	1149	1149	partial
CDS	with_protein	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	35155	36303	+	NP_009341.2		NM_001178202.2	(R,R)-butanediol dehydrogenase	BDH1	851239	YAL060W	1149	382	
gene	protein_coding	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	36509	37147	+					ECM1	851240	YAL059W	639		partial
mRNA		GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	36509	37147	+	NM_001178201.2		NP_009342.2	Ecm1p	ECM1	851240	YAL059W	639	639	partial
CDS	with_protein	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	36509	37147	+	NP_009342.2		NM_001178201.2	Ecm1p	ECM1	851240	YAL059W	639	212	
gene	protein_coding	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	37464	38972	+					CNE1	851241	YAL058W	1509		partial
mRNA		GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	37464	38972	+	NM_001178200.1		NP_009343.1	calnexin	CNE1	851241	YAL058W	1509	1509	partial
CDS	with_protein	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	37464	38972	+	NP_009343.1		NM_001178200.1	calnexin	CNE1	851241	YAL058W	1509	502	
gene	protein_coding	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	39259	41901	+					GPB2	851243	YAL056W	2643		partial
mRNA		GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	39259	41901	+	NM_001178199.2		NP_009345.3	Gpb2p	GPB2	851243	YAL056W	2643	2643	partial
CDS	with_protein	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	39259	41901	+	NP_009345.3		NM_001178199.2	Gpb2p	GPB2	851243	YAL056W	2643	880	
gene	protein_coding	GCF_000146045.2	Primary Assembly	chromosome	I	NC_001133.9	42177	42719	+					PEX22	851244	YAL055W	543		partial
