# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_004300825.1	Primary Assembly	chromosome		NZ_CP036250.1	3980069	906	-							ELR47_RS00005	999		
CDS	with_protein	GCF_004300825.1	Primary Assembly	chromosome		NZ_CP036250.1	3980069	906	-	WP_130651134.1	WP_130651134.1		asparaginase			ELR47_RS00005	999	332	
gene	protein_coding	GCF_004300825.1	Primary Assembly	chromosome		NZ_CP036250.1	903	1457	-							ELR47_RS00010	555		
CDS	with_protein	GCF_004300825.1	Primary Assembly	chromosome		NZ_CP036250.1	903	1457	-	WP_130648023.1	WP_130648023.1		AmfC protein			ELR47_RS00010	555	184	
gene	protein_coding	GCF_004300825.1	Primary Assembly	chromosome		NZ_CP036250.1	1508	2062	-							ELR47_RS00015	555		
CDS	with_protein	GCF_004300825.1	Primary Assembly	chromosome		NZ_CP036250.1	1508	2062	-	WP_229730617.1	WP_229730617.1		inorganic diphosphatase			ELR47_RS00015	555	184	
gene	protein_coding	GCF_004300825.1	Primary Assembly	chromosome		NZ_CP036250.1	2323	2784	+					bcp		ELR47_RS00020	462		
CDS	with_protein	GCF_004300825.1	Primary Assembly	chromosome		NZ_CP036250.1	2323	2784	+	WP_130648024.1	WP_130648024.1		thioredoxin-dependent thiol peroxidase	bcp		ELR47_RS00020	462	153	
gene	protein_coding	GCF_004300825.1	Primary Assembly	chromosome		NZ_CP036250.1	2901	4925	-							ELR47_RS00025	2025		
CDS	with_protein	GCF_004300825.1	Primary Assembly	chromosome		NZ_CP036250.1	2901	4925	-	WP_130648025.1	WP_130648025.1		sodium-translocating pyrophosphatase			ELR47_RS00025	2025	674	
gene	protein_coding	GCF_004300825.1	Primary Assembly	chromosome		NZ_CP036250.1	5313	6245	-							ELR47_RS00030	933		
CDS	with_protein	GCF_004300825.1	Primary Assembly	chromosome		NZ_CP036250.1	5313	6245	-	WP_205745361.1	WP_205745361.1		hypothetical protein			ELR47_RS00030	933	310	
gene	protein_coding	GCF_004300825.1	Primary Assembly	chromosome		NZ_CP036250.1	6365	7516	-							ELR47_RS00035	1152		
CDS	with_protein	GCF_004300825.1	Primary Assembly	chromosome		NZ_CP036250.1	6365	7516	-	WP_165403728.1	WP_165403728.1		acyl-CoA dehydrogenase family protein			ELR47_RS00035	1152	383	
gene	protein_coding	GCF_004300825.1	Primary Assembly	chromosome		NZ_CP036250.1	7659	8114	-							ELR47_RS00040	456		
CDS	with_protein	GCF_004300825.1	Primary Assembly	chromosome		NZ_CP036250.1	7659	8114	-	WP_130648027.1	WP_130648027.1		thioredoxin family protein			ELR47_RS00040	456	151	
gene	protein_coding	GCF_004300825.1	Primary Assembly	chromosome		NZ_CP036250.1	8114	8614	-							ELR47_RS00045	501		
CDS	with_protein	GCF_004300825.1	Primary Assembly	chromosome		NZ_CP036250.1	8114	8614	-	WP_130648028.1	WP_130648028.1		DUF4395 domain-containing protein			ELR47_RS00045	501	166	
gene	protein_coding	GCF_004300825.1	Primary Assembly	chromosome		NZ_CP036250.1	8659	9606	-							ELR47_RS00050	948		
CDS	with_protein	GCF_004300825.1	Primary Assembly	chromosome		NZ_CP036250.1	8659	9606	-	WP_165403729.1	WP_165403729.1		helix-turn-helix domain-containing protein			ELR47_RS00050	948	315	
gene	protein_coding	GCF_004300825.1	Primary Assembly	chromosome		NZ_CP036250.1	9850	10758	-							ELR47_RS00055	909		
CDS	with_protein	GCF_004300825.1	Primary Assembly	chromosome		NZ_CP036250.1	9850	10758	-	WP_165403730.1	WP_165403730.1		alpha/beta fold hydrolase			ELR47_RS00055	909	302	
