# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_947243775.1	Primary Assembly	chromosome	1	NC_079272.1	3955	5526	-					SKDI01G0010	80922110	SKDI_01G0010	1572		partial
mRNA		GCF_947243775.1	Primary Assembly	chromosome	1	NC_079272.1	3955	5526	-	XM_056226936.1		XP_056085810.1	uncharacterized protein	SKDI01G0010	80922110	SKDI_01G0010	1572	1572	partial
CDS	with_protein	GCF_947243775.1	Primary Assembly	chromosome	1	NC_079272.1	3955	5526	-	XP_056085810.1		XM_056226936.1	uncharacterized protein	SKDI01G0010	80922110	SKDI_01G0010	1572	523	
gene	protein_coding	GCF_947243775.1	Primary Assembly	chromosome	1	NC_079272.1	7109	7471	-					SKDI01G0020	80922111	SKDI_01G0020	363		partial
mRNA		GCF_947243775.1	Primary Assembly	chromosome	1	NC_079272.1	7109	7471	-	XM_056228047.1		XP_056085811.1	uncharacterized protein	SKDI01G0020	80922111	SKDI_01G0020	363	363	partial
CDS	with_protein	GCF_947243775.1	Primary Assembly	chromosome	1	NC_079272.1	7109	7471	-	XP_056085811.1		XM_056228047.1	uncharacterized protein	SKDI01G0020	80922111	SKDI_01G0020	363	120	
gene	protein_coding	GCF_947243775.1	Primary Assembly	chromosome	1	NC_079272.1	9308	10444	+					SKDI01G0030	80922112	SKDI_01G0030	1137		partial
mRNA		GCF_947243775.1	Primary Assembly	chromosome	1	NC_079272.1	9308	10444	+	XM_056229158.1		XP_056085812.1	uncharacterized protein	SKDI01G0030	80922112	SKDI_01G0030	1137	1137	partial
CDS	with_protein	GCF_947243775.1	Primary Assembly	chromosome	1	NC_079272.1	9308	10444	+	XP_056085812.1		XM_056229158.1	uncharacterized protein	SKDI01G0030	80922112	SKDI_01G0030	1137	378	
gene	protein_coding	GCF_947243775.1	Primary Assembly	chromosome	1	NC_079272.1	12834	13751	+					SKDI01G0040	80922113	SKDI_01G0040	918		partial
mRNA		GCF_947243775.1	Primary Assembly	chromosome	1	NC_079272.1	12834	13751	+	XM_056230269.1		XP_056085813.1	uncharacterized protein	SKDI01G0040	80922113	SKDI_01G0040	918	918	partial
CDS	with_protein	GCF_947243775.1	Primary Assembly	chromosome	1	NC_079272.1	12834	13751	+	XP_056085813.1		XM_056230269.1	uncharacterized protein	SKDI01G0040	80922113	SKDI_01G0040	918	305	
gene	protein_coding	GCF_947243775.1	Primary Assembly	chromosome	1	NC_079272.1	14463	14837	-					SKDI01G0050	80922114	SKDI_01G0050	375		partial
mRNA		GCF_947243775.1	Primary Assembly	chromosome	1	NC_079272.1	14463	14837	-	XM_056231380.1		XP_056085814.1	uncharacterized protein	SKDI01G0050	80922114	SKDI_01G0050	375	375	partial
