# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_902709585.1	Primary Assembly	unplaced scaffold		NZ_CACSXJ020000001.1	1	636	-						69471178	GV529_RS00005	636		partial
CDS	with_protein	GCF_902709585.1	Primary Assembly	unplaced scaffold		NZ_CACSXJ020000001.1	1	636	-	WP_233476855.1	WP_233476855.1		pyridoxal-dependent decarboxylase		69471178	GV529_RS00005	636	212	partial
gene	protein_coding	GCF_902709585.1	Primary Assembly	unplaced scaffold		NZ_CACSXJ020000001.1	997	3783	-						69471179	GV529_RS00010	2787		
CDS	with_protein	GCF_902709585.1	Primary Assembly	unplaced scaffold		NZ_CACSXJ020000001.1	997	3783	-	WP_181237928.1	WP_181237928.1		insulinase family protein		69471179	GV529_RS00010	2787	928	
gene	protein_coding	GCF_902709585.1	Primary Assembly	unplaced scaffold		NZ_CACSXJ020000001.1	3840	6218	-						69471180	GV529_RS00015	2379		
CDS	with_protein	GCF_902709585.1	Primary Assembly	unplaced scaffold		NZ_CACSXJ020000001.1	3840	6218	-	WP_181237929.1	WP_181237929.1		TonB-dependent receptor plug domain-containing protein		69471180	GV529_RS00015	2379	792	
gene	protein_coding	GCF_902709585.1	Primary Assembly	unplaced scaffold		NZ_CACSXJ020000001.1	6256	7941	-						69471181	GV529_RS00020	1686		
CDS	with_protein	GCF_902709585.1	Primary Assembly	unplaced scaffold		NZ_CACSXJ020000001.1	6256	7941	-	WP_180563193.1	WP_180563193.1		ABC transporter ATP-binding protein/permease		69471181	GV529_RS00020	1686	561	
gene	protein_coding	GCF_902709585.1	Primary Assembly	unplaced scaffold		NZ_CACSXJ020000001.1	8218	9378	-						69471182	GV529_RS00025	1161		
CDS	with_protein	GCF_902709585.1	Primary Assembly	unplaced scaffold		NZ_CACSXJ020000001.1	8218	9378	-	WP_181237930.1	WP_181237930.1		anaerobic sulfatase maturase		69471182	GV529_RS00025	1161	386	
gene	protein_coding	GCF_902709585.1	Primary Assembly	unplaced scaffold		NZ_CACSXJ020000001.1	9431	11113	-						69471183	GV529_RS00030	1683		
CDS	with_protein	GCF_902709585.1	Primary Assembly	unplaced scaffold		NZ_CACSXJ020000001.1	9431	11113	-	WP_001516373.1	WP_001516373.1		sulfatase		69471183	GV529_RS00030	1683	560	
gene	pseudogene	GCF_902709585.1	Primary Assembly	unplaced scaffold		NZ_CACSXJ020000001.1	11895	16163	+						69471184	GV529_RS00035	4269		partial;pseudo
CDS	without_protein	GCF_902709585.1	Primary Assembly	unplaced scaffold		NZ_CACSXJ020000001.1	11895	16163	+				inverse autotransporter beta domain-containing protein		69471184	GV529_RS00035	4269		partial;pseudo
gene	protein_coding	GCF_902709585.1	Primary Assembly	unplaced scaffold		NZ_CACSXJ020000001.1	16313	17170	-						69471185	GV529_RS00040	858		
CDS	with_protein	GCF_902709585.1	Primary Assembly	unplaced scaffold		NZ_CACSXJ020000001.1	16313	17170	-	WP_001516370.1	WP_001516370.1		helix-turn-helix domain-containing protein		69471185	GV529_RS00040	858	285	
