# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	pseudogene	GCF_900119915.1	Primary Assembly	chromosome	contig00001	NZ_LT635455.1	1	418	+							BQ5347_RS00005	418		partial;pseudo
CDS	without_protein	GCF_900119915.1	Primary Assembly	chromosome	contig00001	NZ_LT635455.1	1	418	+				hypothetical protein			BQ5347_RS00005	418		partial;pseudo
gene	protein_coding	GCF_900119915.1	Primary Assembly	chromosome	contig00001	NZ_LT635455.1	475	810	+							BQ5347_RS00010	336		
CDS	with_protein	GCF_900119915.1	Primary Assembly	chromosome	contig00001	NZ_LT635455.1	475	810	+	WP_075575764.1	WP_075575764.1		YbaB/EbfC family nucleoid-associated protein			BQ5347_RS00010	336	111	
gene	protein_coding	GCF_900119915.1	Primary Assembly	chromosome	contig00001	NZ_LT635455.1	829	1437	+					recR		BQ5347_RS00015	609		
CDS	with_protein	GCF_900119915.1	Primary Assembly	chromosome	contig00001	NZ_LT635455.1	829	1437	+	WP_075575765.1	WP_075575765.1		recombination mediator RecR	recR		BQ5347_RS00015	609	202	
gene	protein_coding	GCF_900119915.1	Primary Assembly	chromosome	contig00001	NZ_LT635455.1	1459	2280	+							BQ5347_RS00020	822		
CDS	with_protein	GCF_900119915.1	Primary Assembly	chromosome	contig00001	NZ_LT635455.1	1459	2280	+	WP_075575766.1	WP_075575766.1		hypothetical protein			BQ5347_RS00020	822	273	
gene	tRNA	GCF_900119915.1	Primary Assembly	chromosome	contig00001	NZ_LT635455.1	2375	2451	+							BQ5347_RS00025	77		
tRNA		GCF_900119915.1	Primary Assembly	chromosome	contig00001	NZ_LT635455.1	2375	2451	+				tRNA-Asp			BQ5347_RS00025	77		anticodon=GTC
gene	protein_coding	GCF_900119915.1	Primary Assembly	chromosome	contig00001	NZ_LT635455.1	2630	3322	+							BQ5347_RS00030	693		
